set,instance,family,scale,seed,solver,parse_ms,gate_ms,recovery_ms,registry_ms,flow_ms,witness_ms,fallback_ms,fallback_serialize_ms,fallback_solver_self_ms,fallback_overhead_ms,runtime_ms,structural_result,fallback_used,peak_rss_kb
accepted14,013_random_3sat_planted_sat_scale400_noise0.cnf,random_3sat,400,1,lkk_cadical,2.68614,0.349277,0.559727,3.50721,0,0,748.72,0,748.72,0,769.343038,UNKNOWN,True,8932
accepted14,013_random_3sat_planted_sat_scale400_noise0.cnf,random_3sat,400,2,lkk_none,3.03126,0.350792,0.596868,3.52826,0,0,0,0,0,0,18.087409,UNKNOWN,True,4608
accepted14,013_random_3sat_planted_sat_scale400_noise0.cnf,random_3sat,400,2,lkk_cadical,2.71213,0.385157,0.596267,3.7477,0,0,774.316,0,774.316,0,820.1186,UNKNOWN,True,8572
accepted14,013_random_3sat_planted_sat_scale400_noise0.cnf,random_3sat,400,2,lkk_kissat,2.63058,0.349495,0.576858,3.58382,0,0,2431.72,2.16239,2000,433.878,2477.400987,UNKNOWN,True,5592
accepted14,013_random_3sat_planted_sat_scale400_noise0.cnf,random_3sat,400,3,lkk_cadical,4.2238,0.467087,0.621842,3.90533,0,0,906.105,0,906.105,0,972.003958,UNKNOWN,True,8628
accepted14,013_random_3sat_planted_sat_scale400_noise0.cnf,random_3sat,400,3,lkk_kissat,3.52428,0.490515,0.747577,4.59156,0,0,760.556,2.68964,1000,-236.755,820.947186,UNKNOWN,True,4704
accepted14,013_random_3sat_planted_sat_scale400_noise0.cnf,random_3sat,400,3,lkk_none,3.56448,0.490726,0.719722,4.55616,0,0,0,0,0,0,19.252489,UNKNOWN,True,4476
accepted14,014_random_3sat_planted_sat_scale800_noise0.cnf,random_3sat,800,1,lkk_none,5.47692,1.02691,1.64867,23.1014,0,0,0,0,0,0,68.08834,UNKNOWN,True,4908
accepted14,014_random_3sat_planted_sat_scale800_noise0.cnf,random_3sat,800,1,lkk_cadical,6.58714,1.14274,1.84868,28.8628,0,0,791.4,0,791.4,0,872.658939,UNKNOWN,True,10020
accepted14,014_random_3sat_planted_sat_scale800_noise0.cnf,random_3sat,800,1,lkk_kissat,4.46072,0.818198,1.32205,19.1993,0,0,130.464,3.39616,100,33.8599,217.706002,UNKNOWN,True,4768
accepted14,014_random_3sat_planted_sat_scale800_noise0.cnf,random_3sat,800,2,lkk_cadical,5.20397,0.984127,1.64772,20.5689,0,0,763.394,0,763.394,0,821.183199,UNKNOWN,True,9972
accepted14,014_random_3sat_planted_sat_scale800_noise0.cnf,random_3sat,800,2,lkk_kissat,4.5032,1.00878,1.70114,19.8457,0,0,179.278,4.71473,150,33.9929,268.945094,UNKNOWN,True,4816
accepted14,014_random_3sat_planted_sat_scale800_noise0.cnf,random_3sat,800,2,lkk_none,5.1613,1.05109,1.45087,18.0592,0,0,0,0,0,0,68.532074,UNKNOWN,True,4844
