instance,family,scale,variant,seed,solver,runtime_ms,status,par2_ms,timed_out,structural_result,fallback_used,registry_ms,family_checks,recovery_ms,flow_ms,fallback_ms,total_end_to_end_ms,peak_rss_kb
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,2,lkk_4a_sealed,34.733296,UNSATISFIABLE,34.733296,False,UNSAT,False,20.624,141480,0.16756,0.013318,0,23.9426,4236
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,2,lkk_4c_indexed,19.414377,UNSATISFIABLE,19.414377,False,UNSAT,False,1.52047,5955,0.199183,0.015408,0,5.41194,4312
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,3,kissat,167.877811,UNSATISFIABLE,167.877811,False,,,,,,,,167.877811,2028
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,3,lkk_4a_sealed,35.364079,UNSATISFIABLE,35.364079,False,UNSAT,False,22.6193,141480,0.214983,0.023653,0,26.3964,4048
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,3,lkk_4c_indexed,19.121466,UNSATISFIABLE,19.121466,False,UNSAT,False,1.4184,5955,0.209891,0.014649,0,4.6945,4176
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,3,cadical,217.731643,UNSATISFIABLE,217.731643,False,,,,,,,,217.731643,2804
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,boundary_high,1,cadical,5038.946769,TIMEOUT,10000.0,True,,,,,,,,5038.946769,1672
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,boundary_high,1,kissat,5038.701073,TIMEOUT,10000.0,True,,,,,,,,5038.701073,1616
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,boundary_high,1,lkk_4a_sealed,5037.834466,TIMEOUT,10000.0,True,,,,,,,,5037.834466,1760
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,boundary_high,1,lkk_4c_indexed,18.613626,UNSATISFIABLE,18.613626,False,UNSAT,False,2.81046,16731,0.408169,0.013096,0,6.46302,4476
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,boundary_high,2,kissat,5035.41751,TIMEOUT,10000.0,True,,,,,,,,5035.41751,1748
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,boundary_high,2,lkk_4a_sealed,5037.239752,TIMEOUT,10000.0,True,,,,,,,,5037.239752,1744
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,boundary_high,2,lkk_4c_indexed,18.135512,UNSATISFIABLE,18.135512,False,UNSAT,False,2.81573,16731,0.33792,0.013101,0,6.45859,4512
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,boundary_high,2,cadical,5037.730032,TIMEOUT,10000.0,True,,,,,,,,5037.730032,1756
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,boundary_high,3,lkk_4a_sealed,5036.393187,TIMEOUT,10000.0,True,,,,,,,,5036.393187,1688
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,boundary_high,3,lkk_4c_indexed,17.917186,UNSATISFIABLE,17.917186,False,UNSAT,False,2.62781,16731,0.333297,0.01365,0,5.70738,4588
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,boundary_high,3,cadical,5036.691796,TIMEOUT,10000.0,True,,,,,,,,5036.691796,1672
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,boundary_high,3,kissat,5036.871371,TIMEOUT,10000.0,True,,,,,,,,5036.871371,1736
005_overlapping_hall_violation_boundary_low_scale8_noise0.cnf,overlapping_hall_violation,8,boundary_low,1,kissat,117.684656,UNSATISFIABLE,117.684656,False,,,,,,,,117.684656,2456
005_overlapping_hall_violation_boundary_low_scale8_noise0.cnf,overlapping_hall_violation,8,boundary_low,1,lkk_4a_sealed,821.81876,UNSATISFIABLE,821.81876,False,UNKNOWN,True,343.215,200001,0.412086,0,448.416,796.768,6868
005_overlapping_hall_violation_boundary_low_scale8_noise0.cnf,overlapping_hall_violation,8,boundary_low,1,lkk_4c_indexed,18.964681,UNSATISFIABLE,18.964681,False,UNSAT,False,5.48403,35405,0.29302,0.080187,0,9.85683,4732
005_overlapping_hall_violation_boundary_low_scale8_noise0.cnf,overlapping_hall_violation,8,boundary_low,1,cadical,569.901349,UNSATISFIABLE,569.901349,False,,,,,,,,569.901349,3476
