instance,stratum,domain,mode,measured_at_timeout_s,runtime_ms,status,timed_out
huge.cnf,resource_allocation_like,planning_scheduling,B_kissat,60.0,66.382291,SATISFIABLE,False
par32-4.cnf,no_useful_detected_structure,crafted_parity,A_cadical,60.0,60035.202042,TIMEOUT,True
par32-4.cnf,no_useful_detected_structure,crafted_parity,B_kissat,60.0,60034.069692,TIMEOUT,True
flat200-70.cnf,resource_allocation_like,matching_capacity,A_cadical,60.0,66.176556,SATISFIABLE,False
flat200-70.cnf,resource_allocation_like,matching_capacity,B_kissat,60.0,66.301406,SATISFIABLE,False
asconhashv12_opt64_H11_M2-fCHjS2L0du5_m2_4.c.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60008.790543,TIMEOUT,True
asconhashv12_opt64_H11_M2-fCHjS2L0du5_m2_4.c.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60016.937711,TIMEOUT,True
uf200-071.cnf,resource_allocation_like,random_control,A_cadical,60.0,35.156868,UNKNOWN,False
uf200-071.cnf,resource_allocation_like,random_control,B_kissat,60.0,18.309889,UNKNOWN,False
circuit_48in64out_with_800gates_4in4out_dist128_seed1.sanitized.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,20492.266036,SATISFIABLE,False
circuit_48in64out_with_800gates_4in4out_dist128_seed1.sanitized.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,23200.097654,SATISFIABLE,False
aim-50-1_6-no-3.cnf,resource_allocation_like,crafted_structured,A_cadical,60.0,66.292587,UNSATISFIABLE,False
aim-50-1_6-no-3.cnf,resource_allocation_like,crafted_structured,B_kissat,60.0,18.32525,UNSATISFIABLE,False
ER_500_30_3.apx_2_DC-AD.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60040.283822,TIMEOUT,True
ER_500_30_3.apx_2_DC-AD.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60044.281323,TIMEOUT,True
flat100-6.cnf,resource_allocation_like,matching_capacity,A_cadical,60.0,66.206333,SATISFIABLE,False
flat100-6.cnf,resource_allocation_like,matching_capacity,B_kissat,60.0,18.021531,SATISFIABLE,False
circuit_32in32out_with_96gates_7in7out_dist128_seed1.sanitized.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60050.544972,TIMEOUT,True
circuit_32in32out_with_96gates_7in7out_dist128_seed1.sanitized.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60014.771331,TIMEOUT,True
flat100-71.cnf,resource_allocation_like,matching_capacity,A_cadical,60.0,67.094147,SATISFIABLE,False
flat100-71.cnf,resource_allocation_like,matching_capacity,B_kissat,60.0,17.862492,SATISFIABLE,False
g2-test_v5_r10_vr10_c1_s21502.smt2-cvc4.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60026.065169,TIMEOUT,True
g2-test_v5_r10_vr10_c1_s21502.smt2-cvc4.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60012.986219,TIMEOUT,True
flat200-42.cnf,resource_allocation_like,matching_capacity,A_cadical,60.0,66.118455,SATISFIABLE,False
flat200-42.cnf,resource_allocation_like,matching_capacity,B_kissat,60.0,34.417181,SATISFIABLE,False
ER_400_20_4.apx_1_DC-AD.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60044.296648,TIMEOUT,True
ER_400_20_4.apx_1_DC-AD.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60008.981095,TIMEOUT,True
uf200-091.cnf,resource_allocation_like,random_control,A_cadical,60.0,18.248877,UNKNOWN,False
uf200-091.cnf,resource_allocation_like,random_control,B_kissat,60.0,18.009831,UNKNOWN,False
pb_300_05_lb_17.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60017.500525,TIMEOUT,True
pb_300_05_lb_17.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,23963.287729,SATISFIABLE,False
uf250-09.cnf,resource_allocation_like,random_control,A_cadical,60.0,17.529083,UNKNOWN,False
uf250-09.cnf,resource_allocation_like,random_control,B_kissat,60.0,17.663147,UNKNOWN,False
af-synthesis_stb_50_200_0_sat.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60006.502374,TIMEOUT,True
af-synthesis_stb_50_200_0_sat.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60057.08097,TIMEOUT,True
uuf250-024.cnf,resource_allocation_like,random_control,A_cadical,60.0,17.459607,UNKNOWN,False
uuf250-024.cnf,resource_allocation_like,random_control,B_kissat,60.0,18.127135,UNKNOWN,False
aim-100-1_6-no-4.cnf,resource_allocation_like,crafted_structured,A_cadical,60.0,66.381955,UNSATISFIABLE,False
aim-100-1_6-no-4.cnf,resource_allocation_like,crafted_structured,B_kissat,60.0,34.827562,UNSATISFIABLE,False
flat200-36.cnf,resource_allocation_like,matching_capacity,A_cadical,60.0,167.833736,SATISFIABLE,False
flat200-36.cnf,resource_allocation_like,matching_capacity,B_kissat,60.0,67.403204,SATISFIABLE,False
jnh301.cnf,resource_allocation_like,crafted_structured,A_cadical,60.0,67.077638,SATISFIABLE,False
jnh301.cnf,resource_allocation_like,crafted_structured,B_kissat,60.0,17.959251,SATISFIABLE,False
uuf250-025.cnf,resource_allocation_like,random_control,A_cadical,60.0,18.147683,UNKNOWN,False
uuf250-025.cnf,resource_allocation_like,random_control,B_kissat,60.0,17.48532,UNKNOWN,False
lec_mult_CvK_11x11.sanitized.cnf,resource_allocation_like,competition_main,A_cadical,60.0,60041.750079,TIMEOUT,True
lec_mult_CvK_11x11.sanitized.cnf,resource_allocation_like,competition_main,B_kissat,60.0,60037.259343,TIMEOUT,True
flat75-73.cnf,resource_allocation_like,matching_capacity,A_cadical,60.0,67.222134,SATISFIABLE,False
flat75-73.cnf,resource_allocation_like,matching_capacity,B_kissat,60.0,34.293374,SATISFIABLE,False
uf250-033.cnf,resource_allocation_like,random_control,A_cadical,60.0,17.868438,UNKNOWN,False
uf250-033.cnf,resource_allocation_like,random_control,B_kissat,60.0,17.664037,UNKNOWN,False
uuf200-089.cnf,resource_allocation_like,random_control,A_cadical,60.0,17.614573,UNKNOWN,False
uuf200-089.cnf,resource_allocation_like,random_control,B_kissat,60.0,18.165345,UNKNOWN,False
uf200-020.cnf,resource_allocation_like,random_control,A_cadical,60.0,17.625887,UNKNOWN,False
uf200-020.cnf,resource_allocation_like,random_control,B_kissat,60.0,17.854714,UNKNOWN,False
flat200-24.cnf,resource_allocation_like,matching_capacity,A_cadical,60.0,66.114468,SATISFIABLE,False
flat200-24.cnf,resource_allocation_like,matching_capacity,B_kissat,60.0,34.421237,SATISFIABLE,False
flat75-47.cnf,resource_allocation_like,matching_capacity,A_cadical,60.0,66.538079,SATISFIABLE,False
flat75-47.cnf,resource_allocation_like,matching_capacity,B_kissat,60.0,33.906518,SATISFIABLE,False
lec_mult_DvK_12x12.sanitized.cnf,resource_allocation_like,competition_main,A_cadical,60.0,60041.324441,TIMEOUT,True
lec_mult_DvK_12x12.sanitized.cnf,resource_allocation_like,competition_main,B_kissat,60.0,60037.587736,TIMEOUT,True
