instance,stratum,mode,runtime_ms,status
uf250-014.cnf,resource_allocation_like,C_lkk_cadical,518.237616,SATISFIABLE
uf250-014.cnf,resource_allocation_like,D_lkk_kissat,116.088433,SATISFIABLE
uf200-090.cnf,resource_allocation_like,C_lkk_cadical,217.287825,SATISFIABLE
uf200-090.cnf,resource_allocation_like,D_lkk_kissat,117.088728,SATISFIABLE
uuf250-062.cnf,resource_allocation_like,C_lkk_cadical,2625.946386,UNSATISFIABLE
uuf250-062.cnf,resource_allocation_like,D_lkk_kissat,2827.20995,UNSATISFIABLE
uuf200-03.cnf,resource_allocation_like,C_lkk_cadical,267.515536,UNSATISFIABLE
uuf200-03.cnf,resource_allocation_like,D_lkk_kissat,317.345295,UNSATISFIABLE
flat75-61.cnf,resource_allocation_like,C_lkk_cadical,17.772068,SATISFIABLE
flat75-61.cnf,resource_allocation_like,D_lkk_kissat,66.641962,SATISFIABLE
flat100-18.cnf,resource_allocation_like,C_lkk_cadical,34.187457,SATISFIABLE
